country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2k,17.7k,21k,23.5k,24k,25.1k,25.7k,26.7k,28k,27.9k,27.4k,28.4k,28.1k,27.6k,29k,29.7k,29.1k,29.1k,30.9k,30.5k,30.5k,31.1k,31.2k,27.2k,26.2k,26.8k,26.3k,27.8k,27.6k,28.4k,28.9k,30.3k,31.7k,31.8k,25.8k,30.3k
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,363,354,380,384,429,437,512,569,551,596,608,603,592,590,589,579,584,553,426
Angola,,,,,,,,,,,,,,,,,,,,,2660,2450,2360,2380,2430,2430,2410,2420,2490,2400,2250,2190,2000,1470,1450,1610,1770,1830,1860,1840,1830,1850,2030,2020,2170,2400,2590,2840,3050,2960,2990,2980,3120,3150,3190,3100,2910,2810,2680,2570,2350,2300
Albania,,,,,,,,,,,,,,,,,,,,,1740,1800,1820,1800,1740,1740,1800,1750,1690,1810,1610,1160,1090,1200,1310,1490,1630,1460,1600,1820,1960,2140,2250,2380,2520,2680,2850,3040,3300,3430,3580,3680,3740,3780,3860,3950,4090,4250,4430,4540,4410,4830
Andorra,,,,,,,,,,,43.3k,42.2k,42.6k,43k,42.6k,40.3k,39.2k,38.2k,36.8k,35.2k,34.4k,33.1k,32.1k,31.2k,30.5k,30k,29.8k,30.1k,30.3k,30.6k,30.6k,30.3k,29.6k,28.4k,28.1k,28.1k,28.8k,31.1k,31.9k,33k,33.9k,35.7k,35.7k,37.3k,38.7k,39.3k,41k,42.7k,41.5k,40.4k,40.9k,41.5k,39.2k,37.6k,38.4k,38.9k,39.9k,39.3k,39.3k,39.4k,34.4k,36.8k
UAE,,,,,,,,,,,,,,,,102k,105k,111k,95.9k,103k,114k,110k,96.7k,86.9k,85.5k,78.2k,62.4k,60.2k,54.8k,57.9k,64.6k,61.6k,60.5k,58.3k,59.5k,60.7k,60.8k,61.6k,58.1k,56.3k,59.1k,56.8k,55.3k,57.3k,60k,58.7k,56.3k,48.5k,42k,34.8k,33.3k,35.3k,36.6k,38k,39.2k,41.5k,43.5k,43.4k,43.6k,43.8k,41.3k,42.5k
Argentina,7410,7690,7500,6990,7570,8240,8060,8190,8450,9130,9260,9630,9630,9740,10.1k,9940,9580,10.1k,9480,10.3k,10.3k,9590,9370,9620,9620,8990,9400,9510,9260,8470,8140,8760,9330,9960,10.4k,9970,10.4k,11.1k,11.4k,10.9k,10.7k,10.1k,8900,9580,10.3k,11.1k,11.9k,12.9k,13.2k,12.3k,13.6k,14.2k,13.9k,14.1k,13.6k,13.8k,13.4k,13.6k,13.1k,12.7k,11.3k,12.4k
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640,1430,840,792,855,928,990,1030,1120,1170,1250,1390,1580,1820,2020,2310,2640,3020,3250,2810,2890,3040,3280,3400,3540,3670,3690,3990,4220,4560,4260,4520
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8k,13k,13.1k,13.1k,12.7k,13k,12.8k,12.4k,12.5k,12.7k,12.2k,12.1k,12.5k,13.1k,13.1k,12.4k,13k,13.3k,14.3k,14.4k
Antigua and Barbuda,,,,,,,,,,,,,,,,,,5400,5620,6050,6510,6740,6720,7060,7780,8420,9440,10.1k,10.7k,11.3k,11.7k,11.9k,11.9k,12.3k,12.9k,12.1k,12.6k,13k,13.4k,13.6k,14.2k,13.4k,13.4k,14k,14.7k,15.4k,17.2k,18.5k,18.2k,15.8k,14.4k,13.9k,14.2k,14k,14.4k,14.9k,15.6k,16k,17k,17.7k,14k,14.7k
Australia,19.9k,20k,19.8k,20.6k,21.7k,22.5k,22.5k,23.6k,24.4k,25.6k,26.9k,27k,27.6k,27.9k,28.3k,28.3k,28.8k,29.5k,29.4k,30.2k,30.8k,31.3k,31.8k,30.7k,31.7k,32.9k,33.7k,34.1k,35.5k,36.2k,37k,36.4k,36.1k,37.2k,38.3k,39.4k,40.4k,41.6k,43k,44.7k,45.9k,46.2k,47.5k,48.5k,50k,50.9k,51.6k,52.6k,53.4k,53.3k,53.6k,54.1k,55.3k,55.7k,56.3k,56.7k,57.4k,57.7k,58.5k,58.9k,58.1k,59.3k
