-86.752554,33.460451,"Whole Foods-Birmingham,AL","3100 Cahaba Village Plaza, Birmingham,AL 35243, (205) 912-8400|8am to 10pm Monday - Saturday"
-86.5904161,34.712443,"Whole Foods-Huntsville,AL","2501 Memorial Pkwy SW, Huntsville,AL 35801, (256) 801-3741|8am to 9pm Seven Days A Week"
-88.1504613,30.6761375,"Whole Foods-Mobile,AL","3968 Airport Blvd, Mobile,AL 36608, (251) 206-7028|8:00 a.m. to 9:00 p.m. Seven days a week"
-86.1714041,32.3578148,"Whole Foods-Montgomery,AL","1450 Taylor Rd, Montgomery,AL 36117, (334) 523-2940|8:00am - 9:00pm Mon-Sun"
-94.1450778,36.1135626,"Whole Foods-Fayetteville,AR","3425 N College Avenue, Fayetteville,AR 72703, (479) 695-5561|STORE: 8am–10pm seven days a week; TAPROOM: 3pm–10pm"
-92.405983,34.750473,"Whole Foods-Little Rock,AR","501 Bowman Road, Little Rock,AR 72211, (501) 221-2331|7:30am to 10:0pm. Seven days a week."
-111.892393,33.320132,"Whole Foods-Chandler,AZ","2955 West Ray Road, Chandler,AZ 85224, (480) 821-9447|Open Daily 7:00am -10:00pm"
-111.6410751,35.1913071,"Whole Foods-Flagstaff,AZ","320 S Cambridge Lane, Flagstaff,AZ 86001, (928) 774-5747|Open Daily 7am to 9pm"
-111.978134,33.584612,"Whole Foods-Phoenix,AZ","10810 N Tatum Blvd, Phoenix,AZ 85028, (602) 569-7600|7am to 10pm seven days a week"
-112.037912,33.506196,"Whole Foods-Phoenix,AZ","4701 N 20th Street, Phoenix,AZ 85016, (602) 761-4750|7am - 10pm seven days a week"
-111.927354,33.654928,"Whole Foods-Phoenix,AZ","7111 E Mayo Blvd, Phoenix,AZ 85054, (480) 515-3777|7am to 10pm Seven days a week"
-112.4837723,34.5596733,"Whole Foods-Prescott,AZ","1112 Iron Springs Rd, Prescott,AZ 86305, (928) 445-7370|7:00 a.m. to 8:00 p.m. Seven days a week."
