country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Angola,,,,,,,,,,,,623,651,628,620,586,560,534,568,557,548,532,506,502,489,500,489,483,486,481,497,493,480,481,472,457,455,449,434,441,439,443,448,468,464,433,459,472,492,515,521,521,551,531,541,
Albania,,,,,,,,,,,,785,866,763,777,827,891,924,1010,864,1150,989,967,1000,1020,917,964,922,928,896,813,573,418,412,441,417,448,385,427,576,580,597,660,648,715,720,707,680,711,732,729,765,688,801,808,
UAE,,,,,,,,,,,,2940,2680,2960,2730,3570,4010,5810,5920,6130,7130,8060,8280,7530,9230,9940,10.6k,11k,10.5k,11.4k,10.7k,11.7k,10.6k,10.6k,11.2k,11.4k,11.4k,11.2k,10.8k,10.4k,9620,11.6k,11k,10.3k,10.5k,10.4k,9430,8540,8490,7500,7270,7500,7890,7990,7980,
Argentina,,,,,,,,,,,,1390,1390,1420,1430,1390,1410,1430,1430,1490,1490,1430,1420,1420,1450,1370,1430,1480,1510,1450,1410,1430,1490,1470,1540,1550,1580,1610,1650,1660,1660,1560,1500,1590,1720,1710,1840,1850,1930,1860,1930,1950,1940,1970,2030,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2170,2250,1160,634,409,495,540,569,585,572,636,640,604,642,683,824,845,950,1010,880,843,927,1020,1000,1020,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560,,,,,,,,,,,,,,1710,1720,1770,1780,,,,,,,,
Australia,3060,3120,3170,3280,3350,3460,3550,3690,3760,3790,4060,3990,4040,4260,4290,4350,4410,4670,4630,4680,4740,4700,4820,4550,4640,4590,4620,4770,4700,5000,5060,4930,4960,5160,5100,5150,5420,5500,5580,5640,5680,5490,5610,5620,5650,5620,5780,5870,5960,5860,5790,5750,5580,5470,5330,5480
Austria,1550,1550,1680,1820,1860,1850,1900,1920,2050,2180,2420,2510,2630,2830,2730,2650,2870,2800,2890,3140,3070,2900,2830,2840,2950,3050,3060,3170,3200,3140,3240,3420,3250,3260,3230,3370,3580,3550,3610,3590,3570,3760,3770,3970,4010,4090,4080,4020,4030,3800,4050,3920,3890,3920,3760,3800
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,3090,2460,2180,1950,1810,1510,1440,1490,1370,1400,1410,1410,1480,1540,1600,1560,1410,1520,1330,1280,1370,1470,1470,1500,
Belgium,2520,2570,2810,3040,3020,3120,3050,3180,3590,3880,4140,4100,4470,4720,4620,4320,4620,4590,4830,4980,4740,4420,4210,4160,4330,4470,4630,4730,4770,4800,4810,5010,5040,4900,5190,5270,5540,5520,5600,5610,5670,5630,5390,5590,5590,5560,5470,5340,5450,5200,5540,5090,4850,5000,4710,4690
