country,2018
Afghanistan,35
Angola,25
Albania,6
Argentina,4
Armenia,5
Australia,3
Austria,4
Azerbaijan,5
Burundi,22
Belgium,5
Benin,15
Burkina Faso,11
Bangladesh,23
Bulgaria,6
Bosnia and Herzegovina,3
Belarus,6
Belize,8
Bolivia,18
Brazil,6
Barbados,16.2
Brunei,3.5
Bhutan,9
Botswana,17
Central African Republic,21
Canada,3
Switzerland,2
Chile,6
China,8
Cote d'Ivoire,16
Cameroon,22
"Congo, Dem. Rep.",36
"Congo, Rep.",33.8
Colombia,12
Comoros,8
Cape Verde,11
Costa Rica,7
Cuba,5
Cyprus,3
Czech Republic,4
Denmark,3
Dominican Republic,10
Ecuador,8
Egypt,15
Spain,3
Estonia,4
Ethiopia,27
Finland,8
Fiji,23
France,5
"Micronesia, Fed. Sts.",21
Gabon,22
UK,4
Georgia,3
Ghana,10
Guinea,21
Gambia,10
Equatorial Guinea,29
Greece,5
Grenada,8
Guatemala,7
Guyana,10
"Hong Kong, China",3
Honduras,7
Croatia,4
Haiti,12
Hungary,6
Indonesia,9
India,18
Ireland,3
Iran,18
Iraq,16.5
Iceland,3
Israel,6
Italy,4
Jamaica,7
Jordan,13
Japan,4
Kazakhstan,6
Kenya,23
Kyrgyz Republic,13
Cambodia,9
Kiribati,25
South Korea,8
Lao,8
Liberia,27
St. Lucia,16.2
Sri Lanka,4
Lesotho,16
Lithuania,5
Luxembourg,4
Latvia,6
Morocco,10
Moldova,9
Maldives,6
Mexico,10
Marshall Islands,19
North Macedonia,4
Mali,18
Malta,4
Myanmar,11
Montenegro,4
Mongolia,12
Mozambique,16
Mauritania,19.7
Mauritius,13.2
Malawi,17
Malaysia,13.1
Namibia,16
Niger,13
Nigeria,13
Nicaragua,6
Netherlands,5
Norway,4
Nepal,11
Nauru,20
New Zealand,4
Pakistan,16
Panama,8
Peru,11
Philippines,6
Palau,14
Papua New Guinea,31
Poland,3
Portugal,4
Paraguay,6
Romania,7
Russia,8
Rwanda,23
Sudan,17
Senegal,12
Singapore,2
Solomon Islands,28
Sierra Leone,20
El Salvador,6
Serbia,4
South Sudan,27
Sao Tome and Principe,18
Suriname,8
Slovak Republic,6
Slovenia,3
Sweden,6
Eswatini,18
Chad,16
Togo,13
Thailand,9
Tajikistan,14
Timor-Leste,28
Tonga,17
Trinidad and Tobago,8
Tunisia,10
Turkey,12
Tuvalu,20
Tanzania,24
Uganda,26
Ukraine,9
Uruguay,4
USA,6
Uzbekistan,7.3
St. Vincent and the Grenadines,16.1
Venezuela,8
Vietnam,10
Vanuatu,29
Samoa,18
South Africa,13
Zambia,28
Zimbabwe,18
